                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82308,                 3.1002,                 1.0764,                0.22714,                  0.575,                 0.2431,                0.19913,                0.76208,                 2.4045,                0.99591,             0.00017474,             0.00017474,             0.00017474
                      2,                0.74654,                 2.2038,                  1.022,                0.30001,                0.49299,                0.33232,                0.26815,                 0.7708,                 2.0853,                 1.0005,             0.00034661,             0.00034661,             0.00034661
                      3,                0.72595,                 1.9762,                 1.0081,                0.40998,                0.52617,                 0.4719,                0.39417,                0.69597,                 1.7205,                0.94233,               0.000515,               0.000515,               0.000515
                      4,                 0.7263,                  1.739,                0.99769,                0.63107,                0.57105,                0.60139,                0.50376,                0.70004,                  1.432,                0.93746,             0.00051038,             0.00051038,             0.00051038
                      5,                0.70058,                 1.5235,                0.99248,                0.68682,                0.65808,                0.70266,                0.59428,                0.68442,                 1.1096,                0.93292,             0.00050517,             0.00050517,             0.00050517
                      6,                 0.6914,                 1.3595,                  0.985,                0.62485,                0.67104,                  0.694,                0.59072,                0.67802,                 1.1196,                0.93175,             0.00049996,             0.00049996,             0.00049996
                      7,                0.67453,                 1.2776,                0.97533,                0.72749,                0.67716,                0.75268,                0.63819,                0.66001,                 0.9417,                0.91346,             0.00049476,             0.00049476,             0.00049476
                      8,                0.65901,                 1.1727,                0.96899,                0.80033,                0.72004,                0.79797,                0.68135,                0.65281,                0.84611,                 0.9133,             0.00048955,             0.00048955,             0.00048955
                      9,                0.65189,                 1.1048,                0.96884,                0.90238,                0.75598,                0.84165,                0.70677,                0.67304,                0.67955,                0.91986,             0.00048434,             0.00048434,             0.00048434
                     10,                0.63852,                 1.0104,                0.95818,                0.86761,                0.78139,                0.84833,                0.71773,                0.66192,                0.64291,                0.91918,             0.00047913,             0.00047913,             0.00047913
                     11,                0.64169,                0.99056,                0.95922,                0.85084,                0.78145,                0.85075,                0.72435,                0.64199,                0.65325,                0.90604,             0.00047393,             0.00047393,             0.00047393
                     12,                0.63308,                0.98776,                0.96127,                0.88602,                0.77919,                0.85902,                0.73582,                0.63258,                 0.6237,                0.90834,             0.00046872,             0.00046872,             0.00046872
                     13,                0.62226,                  0.914,                0.95573,                0.88795,                0.77034,                0.85665,                0.72869,                0.63606,                0.61595,                0.91094,             0.00046351,             0.00046351,             0.00046351
                     14,                0.61938,                0.90615,                0.94996,                0.87475,                0.79902,                0.86601,                0.73835,                0.63337,                0.60127,                0.90068,              0.0004583,              0.0004583,              0.0004583
